Course Id;Course Name;Provider;Institutions;Parent.Subject;Child.Subject;Url;Date;Length;;
482;Women and the Civil Rights Movement;Coursera;University of Maryland, College Park;Social Sciences;Sociology;https://www.coursera.org/course/womencivilrights;2013-02-25;NA;;
484;Fundamentals of Personal Financial Planning;Coursera;University of California, Irvine;Business & Management;Finance;https://www.coursera.org/course/financialplanning;2013-01-14;NA;;
485;Animal Behaviour;Coursera;University of Melbourne;Science;Biology;https://www.coursera.org/course/animalbehav;2015-06-01;8;;
486;Epigenetic Control of Gene Expression;Coursera;University of Melbourne;Science;Biology;https://www.coursera.org/course/epigenetics;2015-06-29;8;;
487;Discrete Optimization;Coursera;University of Melbourne;Computer Science;Theoretical Computer Science;https://www.coursera.org/course/optimization;2015-03-04;9;;
488;Principles of Macroeconomics;Coursera;University of Melbourne;Social Sciences;Economics;https://www.coursera.org/course/macroeconomics;2015-09-21;8;;
489;Software Defined Networking;Coursera;Princeton University;Computer Science;NA;https://www.coursera.org/course/sdn1;2015-05-25;8;;
490;Introduction to Systems Biology;Coursera;Icahn School of Medicine at Mount Sinai;Science;Biology;https://www.coursera.org/course/sysbio;2014-09-02;10;;
491;Network Analysis in Systems Biology;Coursera;Icahn School of Medicine at Mount Sinai;Science;Biology;https://www.coursera.org/course/netsysbio;2015-01-05;7;;
492;Microeconomics for Managers;Coursera;University of California, Irvine;Social Sciences;Economics;https://www.coursera.org/course/microeconomics;2013-01-21;10;;
493;Dynamical Modeling Methods for Systems Biology;Coursera;Icahn School of Medicine at Mount Sinai;Science;Biology;https://www.coursera.org/course/dynamicalmodeling;2015-03-02;7;;
494;Introduction to Tissue Engineering;Coursera;Hebrew University of Jerusalem;Science;Biology;https://www.coursera.org/course/tissue101;NA;NA;;
495;Climate Change;Coursera;University of Melbourne;Science;Environmental Science;https://www.coursera.org/course/climatechange;2014-08-11;NA;;
496;Generating the Wealth of Nations;Coursera;University of Melbourne;Business & Management;Finance;https://www.coursera.org/course/wealthofnations;2014-09-01;NA;;
497;Exercise Physiology: Understanding the Athlete Within;Coursera;University of Melbourne;Health & Medicine;Nutrition & Wellness;https://www.coursera.org/course/exphys;2014-07-21;NA;;
498;Passion Driven Statistics;Coursera;Wesleyan University;Mathematics;Statistics & Probability;https://www.coursera.org/course/pdstatistics;2013-03-25;NA;;
499;Introduction to Pharmacy;Coursera;Ohio State University;Health & Medicine;Health Care & Research;https://www.coursera.org/course/intropharma;2015-01-08;NA;;
500;Principles of Public Health;Coursera;University of California, Irvine;Health & Medicine;Public & Global Health;https://www.coursera.org/course/publichealth;2013-01-28;NA;;
501;Generation Rx: The Science Behind Prescription Drug Abuse;Coursera;Ohio State University;Health & Medicine;Disease & Disorders;https://www.coursera.org/course/genrx;2013-09-09;NA;;
502;The Ancient Greeks;Coursera;Wesleyan University;Humanities;History;https://www.coursera.org/course/ancientgreeks;2013-09-01;NA;;
503;Modern European Mysticism and Psychological Thought;Coursera;Hebrew University of Jerusalem;Humanities;Philosophy;https://www.coursera.org/course/mysticthought;2014-01-13;NA;;
504;Synapses, Neurons and Brains ;Coursera;Hebrew University of Jerusalem;Science;Biology;https://www.coursera.org/course/bluebrain;2013-03-31;NA;;
505;Coding the Matrix: Linear Algebra through Computer Science Applications;Coursera;Brown University;Mathematics;Algebra & Geometry;https://www.coursera.org/course/matrix;2015-02-02;10;;
506;Introduction to Digital Sound Design;Coursera;Emory University;Art & Design;Digital Media & Video Games;https://www.coursera.org/course/digitalsounddesign;2014-07-21;NA;;
508;AIDS;Coursera;Emory University;Health & Medicine;Disease & Disorders;https://www.coursera.org/course/aids;2013-02-25;NA;;
509;The Language of Hollywood: Storytelling, Sound, and Color;Coursera;Wesleyan University;Art & Design;Film & Theatre;https://www.coursera.org/course/hollywood;2015-02-02;5;;
510;The Fiction of Relationship;Coursera;Brown University;Humanities;Literature;https://www.coursera.org/course/relationship;2014-09-01;NA;;
511;Science from Superheroes to Global Warming;Coursera;University of California, Irvine;Science;Environmental Science;https://www.coursera.org/course/scientificthinking;2013-01-21;NA;;
512;Useful Genetics Part 1;Coursera;The University of British Columbia;Science;Biology;https://www.coursera.org/course/usefulgenetics;2014-09-05;6;;
513;Archaeology's Dirty Little Secrets;Coursera;Brown University;Social Sciences;Anthropology;https://www.coursera.org/course/secrets;2014-02-24;NA;;
